t,x,z,xdot,zdot,fluid_pressure_gradient_x,fluid_pressure_gradient_z,buoyancy_force_x,buoyancy_force_z,added_mass_force_x,added_mass_force_z,stokes_drag_x,stokes_drag_z,history_force_x,history_force_z,St
0.0,0.0,0.0,1.0,0.0,-0.0,0.11500000000000138,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.00030807074437940764,0.5268975549649455,0.009
0.005,0.004997016584380752,-0.0001538136132995645,0.9982091467345596,-0.06096682192695928,0.0072177788482588445,0.11477510845719763,0.0,-1.5625000000000184,0.003462167956074443,-0.0002147077935156684,-0.0011392586624547896,0.25698656784935386,-0.004468353491453522,0.6700362451438826,0.009
0.01,0.009976119014002008,-0.0006069206714943211,0.9928356843478987,-0.12008728156649441,0.014391020491284245,0.11410415691645405,0.0,-1.5625000000000184,0.005288923083971334,-0.0006572311288272502,-0.00340030716340219,0.3950103930798013,-0.009024944100226044,0.7447800610216405,0.009
0.015,0.014919400010772306,-0.0013513116403268308,0.9838973647766857,-0.17831719861354975,0.02150365331639693,0.1129912918682283,0.0,-1.5625000000000184,0.006632271149962373,-0.0012392075368879458,-0.006072719155634972,0.5004203002629324,-0.013300191059056856,0.7422921959164971,0.009
0.02,0.01980911424992655,-0.002386617128944552,0.9714305243411606,-0.23532176022055132,0.028526955820378716,0.11144158369478914,0.0,-1.5625000000000184,0.00737744885768994,-0.0018592761458117375,-0.00942766617052726,0.5648332170047594,-0.017348419978427523,0.7163605133711444,0.009
0.025,0.024627748685409557,-0.003703184510231367,0.9554785813924725,-0.29145627017904857,0.035439506352814766,0.10946107250327487,0.0,-1.5625000000000184,0.008078527753627185,-0.002569652121637515,-0.012662720875068107,0.6301555098710165,-0.020950650521332635,0.6897849743690223,0.009
0.03,0.029358001104764442,-0.0052989895284218025,0.9361104914249901,-0.3461557371115705,0.04221111199713435,0.10705821098755232,0.0,-1.5625000000000184,0.008398573214597633,-0.0032595620763872695,-0.016482842656745007,0.6706710059498207,-0.024273913170194523,0.6661345411665207,0.009
0.035,0.033983016364014865,-0.007163527208340178,0.9133926611220784,-0.399653212851978,0.048820000429742244,0.10424169470849041,0.0,-1.5625000000000184,0.008754889295560443,-0.004028125612190458,-0.01991668793331828,0.718716182485118,-0.027236334502334446,0.6445458982396208,0.009
0.04,0.038486206468169165,-0.009293032813634182,0.8874237482497773,-0.451376187680954,0.05523708765350638,0.10102343229556096,0.0,-1.5625000000000184,0.00880754849326082,-0.004738048042442063,-0.023948474152324373,0.747355219840005,-0.029972194902392883,0.6254637243012735,0.009
0.045,0.04285162983855107,-0.011675524312212577,0.8582923204027506,-0.5015226396101975,0.06144142544239291,0.09741483527231432,0.0,-1.5625000000000184,0.00891625948597528,-0.005522371871097989,-0.027414036119210262,0.7855277384613002,-0.03239615666593329,0.6079041023314629,0.009
