t,x,z,xdot,zdot,fluid_pressure_gradient_x,fluid_pressure_gradient_z,buoyancy_force_x,buoyancy_force_z,added_mass_force_x,added_mass_force_z,stokes_drag_x,stokes_drag_z,history_force_x,history_force_z,St
0.0,0.0,-4.0,0.01831563888873418,0.0,0.0,-0.007839495644906151,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-2.2545367971955324e-05,-2.284548430515576,0.009
0.005,9.149962417066627e-05,-3.9999613234930456,0.018268584126180744,0.013175186984976732,-0.0005515746811795189,-0.007820400839221068,-0.0,6.122448979591843,-0.00027249437367911047,1.9494257875270142e-05,8.981447265279581e-05,-1.1048248161322234,0.00035100041221800644,-2.8724164659094766,0.009
0.01,0.00018253040353931397,-3.999878172803699,0.018128251501922692,0.019535535496234692,-0.0011042302180877272,-0.007762414178130497,-0.0,6.122448979591843,-0.000413473829487654,5.9462410128092756e-05,0.00026667223513365763,-1.689213186665929,0.0007058874155018263,-3.173804194287876,0.009
0.015,0.000272626500609731,-3.9997787918350935,0.01789553491779925,0.024094394370383916,-0.0016524540844770352,-0.007665381896632634,-0.0,6.122448979591843,-0.0005159885458713804,0.00011226579600707061,0.0004745046186946841,-2.1351661764987337,0.0010371726167492348,-3.1510152688226705,0.009
0.02,0.00036132991715536573,-3.999650675819467,0.017571497486841357,0.02629639704363452,-0.0021938043975736616,-0.0075295744227811675,-0.0,6.122448979591843,-0.0005695354589681282,0.00016726789350852956,0.0007355401166566212,-2.3998221979683967,0.0013488686063767804,-3.0289771081001886,0.009
0.025,0.00044818705924793936,-3.999518598944651,0.01715814507998369,0.02866250553060337,-0.0027241615353487945,-0.007355682580296541,-0.0,6.122448979591843,-0.0006200103546405251,0.00023129671064621814,0.0009842286191779873,-2.6750258996025615,0.0016238512806028948,-2.907242200989846,0.009
0.03,0.0005327583307642558,-3.9993690292586686,0.016656973950417535,0.02955932165647216,-0.0032417209304245165,-0.0071443064711267865,-0.0,6.122448979591843,-0.000638168164765987,0.0002915118372351687,0.001279872978249984,-2.8356821516410022,0.0018753888126734636,-2.7976260342416053,0.009
0.035,0.0006146073170201187,-3.9992220516358237,0.016071211384509416,0.031036350123410793,-0.003742755563940202,-0.006896725884694031,-0.0,6.122448979591843,-0.0006597047730194054,0.00036030608883982646,0.0015397462441996213,-3.0376821604859825,0.002096076120823144,-2.6980105774454373,0.009
0.04,0.0006933227353688497,-3.999061968538329,0.015402907283898162,0.03132049782381414,-0.004225639236234431,-0.006613812190017736,-0.0,6.122448979591843,-0.0006548136064135618,0.0004209384337832011,0.0018494354089905194,-3.1453014327452538,0.002297325342974545,-2.607812729142461,0.009
0.045,0.0007684945500061809,-3.9989071408482224,0.014656452872383405,0.03233965397213907,-0.004686927002242066,-0.006297364303457022,-0.0,6.122448979591843,-0.0006548894586610719,0.0004903742772727232,0.0021061232310377377,-3.3051802776887365,0.002470826274841636,-2.5248066692075337,0.009
0.05,0.0008397478651915954,-3.998741363420391,0.013834423713177302,0.03230817409643914,-0.005125139812953026,-0.005948492253016859,-0.0,6.122448979591843,-0.0006324449129218812,0.0005481966372780642,0.00241684019693401,-3.3806748010148606,0.0026261764676692315,-2.4491458029106283,0.009
0.055,0.000906707463468443,-3.998582090074648,0.01294227882668893,0.033086822970091696,-0.005537154933570248,-0.005569461492699024,-0.0,6.122448979591843,-0.0006150419677487567,0.0006152469374623388,0.0026602606955911105,-3.513341453379063,0.0027552200317511617,-2.379018309693251,0.009
0.06,0.0009690424209538286,-3.9984130215693856,0.011983076272372595,0.032904295107089074,-0.0059216599301928135,-0.005161596544929387,-0.0,6.122448979591843,-0.000578464139021861,0.0006678610685332937,0.002961625168274537,-3.5676769739948146,0.002866333698431589,-2.3147767318873775,0.009
0.065,0.001026420092455259,-3.9982509588650426,0.010963225359482485,0.033571084210507515,-0.006275906950742434,-0.004727575083494892,-0.0,6.122448979591843,-0.0005463103297180181,0.0007301077308755906,0.003183758059858117,-3.681448506038566,0.0029521339250447257,-2.254800369369736,0.009
0.07,0.0010785602412234174,-3.998079667060885,0.0098862123563654,0.03333981047967283,-0.006598775739750422,-0.004268911034943325,-0.0,6.122448979591843,-0.0004981837774659893,0.0007756247213690593,0.0034669375910489205,-3.721032248371788,0.0030199218999701453,-2.1995805350833457,0.009
0.075,0.001125179682809479,-3.9979154171570515,0.00875926119184914,0.033978071427188075,-0.006887942678044609,-0.0037886344286233446,-0.0,6.122448979591843,-0.00045350995553589335,0.0008310631482343794,0.003661175342451681,-3.8209764076388963,0.0030633757611471524,-2.1476588607157154,0.009
0.08,0.0011660545730211858,-3.9977421196169667,0.00758622189381411,0.03376632259656949,-0.007142504691078457,-0.003288420413132175,-0.0,6.122448979591843,-0.00039606385755590285,0.0008679745097302462,0.0039185148956589885,-3.849841211263262,0.0030887242282467437,-2.0996353997861625,0.009
0.085,0.001200957067300338,-3.9975755882297648,0.006374981995581033,0.03443306288050359,-0.0073606044839466395,-0.0027715858146141335,-0.0,6.122448979591843,-0.0003409172322722813,0.0009149374042138254,0.004079401390241516,-3.9392522283651488,0.0030908782730374625,-2.054180884064756,0.009
0.09,0.0012297242929489144,-3.997399925878997,0.005129681815733366,0.034288188438932346,-0.007541578294746593,-0.00223993543955691,-0.0,6.122448979591843,-0.0002762308319157991,0.0009420607530100931,0.004304291983996776,-3.9600812408920043,0.0030749683087959133,-2.0119720581108,0.009
0.095,0.0012521884926579318,-3.9972305379869177,0.003858709286432819,0.03502335602451369,-0.007684068205086843,-0.0016970025369763026,-0.0,6.122448979591843,-0.00021261031642735812,0.000979189471131691,0.0044274171997387805,-4.041208642984523,0.0030372453304354403,-1.9717792928431948,0.009
0.1,0.0012682511237054844,-3.9970517498669413,0.002566413929900817,0.034978470824618794,-0.007787667844001744,-0.0011446869159900531,-0.0,6.122448979591843,-0.00014270077959448182,0.0009956450931234615,0.004614267532225571,-4.0558648683219625,0.0029817161992912213,-1.9343306357929357,0.009
0.105,0.0012778080324069264,-3.996878594835788,0.0012615120657939879,0.03580987445122659,-0.007851541706631007,-0.0005866643071535568,-0.0,6.122448979591843,-7.261112371879617e-05,0.0010218809338180227,0.004696230625370729,-4.130305582594584,0.002906031613637807,-1.8984740262942381,0.009
0.11,0.0012808270745181818,-3.9966956413527432,-5.152469093051747e-05,0.03588754505992324,-0.007875554101381212,-2.4892317207026635e-05,-0.0,6.122448979591843,5.346776886223702e-07,0.0010270812859786353,0.004840481943479368,-4.140127087007573,0.002813061205492424,-1.8649704241455183,0.009
0.115,0.0012772699114787644,-3.9965175797280423,-0.00136382891998501,0.03683366505418974,-0.007859404410916405,0.0005368869350750583,-0.0,6.122448979591843,7.50696982852787e-05,0.001041664461574678,0.004878882151490824,-4.20905101687688,0.0027018752040528955,-1.8327295021015217,0.009
0.12,0.0012671715324055156,-3.9963292368332324,-0.0026708982964148706,0.03704809108111583,-0.007803235622246572,0.0010966971198803918,-0.0,6.122448979591843,0.00014949245206057619,0.0010353082051301065,0.004977037295322242,-4.215025601533653,0.002574208762500179,-1.8025320964249936,0.009
